mother_education,father_education,studytime,extra_curricular_activities,parents_job,internet_access,parental_involvement,school_type,avg_grade
SSC,HSC,8,Yes,0,Yes,Yes,Private,95.4
SSC,HSC,4,No,1,No,Yes,Semi_Govt,66.8
SSC,SSC,5,Yes,2,Yes,Yes,Govt,72.0
SSC,SSC,7,Yes,2,Yes,Yes,Private,86.6
Honors,Masters,4,Yes,1,Yes,Yes,Semi_Govt,64.8
HSC,Diploma,4,Yes,1,Yes,Yes,Private,71.6
HSC,Honors,6,Yes,1,Yes,Yes,Govt,75.6
HSC,Honors,6,Yes,1,Yes,Yes,Semi_Govt,79.2
HSC,Honors,5,Yes,1,No,Yes,Private,87.8
SSC,Honors,6,Yes,1,No,No,Govt,71.0
HSC,Honors,10,Yes,1,Yes,No,Semi_Govt,69.6
SSC,Masters,8,Yes,2,No,Yes,Private,75.4
Diploma,HSC,8,Yes,2,Yes,Yes,Govt,85.4
Diploma,Masters,8,Yes,1,Yes,Yes,Semi_Govt,88.0
Diploma,Honors,5,Yes,2,Yes,Yes,Private,75.8
SSC,SSC,6,Yes,1,Yes,Yes,Govt,75.2
SSC,HSC,7,Yes,1,Yes,Yes,Private,64.4
SSC,Diploma,8,Yes,1,Yes,Yes,Semi_Govt,87.8
SSC,Honors,5,Yes,1,Yes,Yes,Private,77.6
SSC,HSC,7,Yes,1,Yes,Yes,Govt,72.0
SSC,HSC,3,Yes,1,No,Yes,Private,76.4
SSC,Honors,5,Yes,2,Yes,Yes,Semi_Govt,81.0
HSC,Honors,6,Yes,2,Yes,Yes,Govt,67.2
SSC,HSC,7,Yes,1,Yes,Yes,Private,75.0
HSC,HSC,4,Yes,1,Yes,No,Semi_Govt,81.6
Honors,Masters,7,Yes,1,Yes,No,Private,84.4
Diploma,Honors,3,Yes,1,Yes,Yes,Govt,77.4
SSC,HSC,6,Yes,1,Yes,Yes,Semi_Govt,78.4
SSC,Masters,6,Yes,2,No,Yes,Private,75.4
SSC,HSC,5,Yes,1,No,No,Govt,71.4
SSC,SSC,4,Yes,2,Yes,Yes,Semi_Govt,79.8
Diploma,Honors,5,Yes,1,Yes,Yes,Private,78.2
SSC,SSC,5,Yes,2,Yes,Yes,Govt,64.6
Diploma,SSC,8,Yes,1,No,No,Semi_Govt,81.6
HSC,Honors,6,Yes,2,Yes,Yes,Private,63.6
Honors,Honors,4,Yes,2,Yes,Yes,Govt,71.0
HSC,Honors,6,Yes,1,Yes,Yes,Private,72.8
HSC,Honors,7,Yes,1,Yes,Yes,Semi_Govt,83.6
SSC,Diploma,8,Yes,1,Yes,Yes,Private,85.0
HSC,Masters,7,Yes,1,Yes,Yes,Govt,75.2
SSC,Honors,8,Yes,1,Yes,Yes,Private,85.8
HSC,Honors,7,Yes,1,Yes,Yes,Semi_Govt,84.4
SSC,HSC,8,Yes,2,Yes,Yes,Govt,69.2
HSC,Diploma,6,Yes,1,Yes,Yes,Private,73.0
Honors,Masters,7,Yes,2,Yes,Yes,Semi_Govt,77.0
SSC,Diploma,8,Yes,1,Yes,Yes,Private,89.2
Diploma,Masters,6,Yes,1,Yes,Yes,Govt,77.4
SSC,SSC,6,Yes,1,Yes,Yes,Semi_Govt,85.0
Diploma,Honors,5,Yes,1,Yes,Yes,Private,77.4
SSC,Honors,5,Yes,1,Yes,Yes,Govt,70.0
HSC,Masters,9,Yes,2,Yes,Yes,Semi_Govt,72.0
Honors,Masters,7,Yes,1,Yes,Yes,Private,71.0
SSC,Honors,9,Yes,1,No,Yes,Govt,71.2
SSC,Masters,8,Yes,2,Yes,Yes,Semi_Govt,82.4
Diploma,Honors,7,Yes,2,Yes,Yes,Private,77.8
Diploma,HSC,5,Yes,1,Yes,Yes,Govt,78.8
Diploma,HSC,10,Yes,1,No,Yes,Private,66.6
SSC,SSC,4,Yes,1,Yes,Yes,Semi_Govt,73.2
HSC,HSC,10,Yes,1,No,Yes,Private,68.0
HSC,Honors,9,Yes,2,No,Yes,Govt,77.2
HSC,SSC,8,Yes,1,Yes,Yes,Govt,88.8
SSC,Diploma,6,Yes,1,Yes,Yes,Private,80.0
SSC,SSC,5,Yes,1,Yes,Yes,Semi_Govt,66.4
SSC,Diploma,5,Yes,1,Yes,Yes,Private,74.6
HSC,Honors,6,Yes,2,Yes,Yes,Govt,76.2
HSC,Honors,4,No,1,Yes,Yes,Semi_Govt,68.8
Honors,Masters,5,Yes,2,Yes,Yes,Private,75.0
SSC,Honors,6,Yes,1,Yes,Yes,Govt,57.0
HSC,Honors,5,Yes,1,Yes,Yes,Semi_Govt,63.6
SSC,SSC,6,Yes,1,No,No,Private,83.6
Honors,Diploma,4,Yes,2,Yes,No,Govt,73.8
SSC,HSC,3,Yes,1,Yes,Yes,Semi_Govt,70.0
SSC,HSC,5,Yes,1,Yes,Yes,Private,74.8
